id,code,amount,user_id,purchase_id,expiration_date,create_date,update_date
114,58517-060,335,245,601,2024-04-04 02:05:52,2024-03-21 22:04:02,2023-06-22 15:09:31
115,57520-0390,162,580,,2023-07-23 06:00:59,2023-11-14 23:24:18,2023-07-17 09:40:03
116,36800-282,138,579,510,2023-06-24 05:45:57,2023-05-28 14:28:17,2024-01-11 18:27:09
117,0781-5421,330,617,692,2023-12-28 11:05:13,2023-07-08 12:29:48,2024-03-16 22:22:18
118,16590-403,413,789,,2024-05-08 17:47:53,2024-05-13 11:44:39,2023-11-25 22:46:34
119,10812-953,468,108,664,2023-06-15 08:17:11,2023-10-15 14:04:21,2023-12-30 10:46:18
120,0093-5275,262,844,,2023-10-06 09:18:40,2023-12-27 01:08:24,2023-08-24 05:24:25
121,11822-0449,367,279,,2024-02-12 06:41:17,2024-03-15 16:59:21,2023-07-27 14:41:44
122,57955-0023,479,341,,2023-12-24 13:52:41,2023-09-18 22:30:43,2023-11-13 07:17:00
123,49349-337,334,413,310,2024-02-04 03:58:08,2024-01-02 00:20:39,2023-07-01 12:52:04
124,51191-2046,75,715,,2024-04-27 22:16:19,2024-03-26 00:44:35,2024-01-21 16:44:48
125,63629-5198,66,608,135,2023-12-10 00:23:07,2024-02-26 17:42:25,2023-07-27 01:13:33
126,48951-9027,359,417,510,2023-06-03 02:07:21,2023-06-17 04:58:26,2023-10-16 10:11:30
127,54569-0908,316,336,,2024-04-11 14:53:51,2023-12-08 19:06:48,2023-07-11 04:48:01
128,52125-131,416,671,346,2024-04-30 04:42:18,2023-09-29 14:46:46,2023-12-17 11:13:45
129,43353-787,53,21,703,2023-07-01 11:15:17,2023-12-13 20:23:35,2023-09-23 09:42:30
130,48951-1205,74,433,,2024-05-10 21:37:05,2023-12-26 11:05:31,2024-04-05 00:39:10
131,43063-381,251,453,,2024-04-12 09:48:39,2024-01-12 11:05:45,2023-09-22 07:22:02
132,0268-0631,51,529,,2024-03-09 23:58:06,2023-08-16 20:23:43,2023-07-05 06:11:51
133,43087-575,358,879,992,2023-07-06 02:27:39,2024-02-03 17:08:24,2023-07-03 04:18:43
134,37808-471,221,664,808,2023-11-14 04:42:31,2024-05-08 18:18:34,2024-02-07 23:08:17
135,43857-0123,191,522,222,2023-11-10 13:40:39,2023-07-04 01:38:18,2023-11-18 13:49:15
136,58980-150,228,498,,2024-04-16 12:27:49,2023-07-25 09:55:12,2024-04-30 22:05:48
137,43063-532,468,897,876,2024-05-19 02:31:22,2023-09-27 03:29:33,2023-10-11 06:57:34
138,58118-0736,138,909,894,2023-06-08 06:08:56,2024-02-16 09:45:11,2024-01-10 13:19:16
139,0363-1465,384,868,812,2023-07-10 23:13:43,2023-11-19 00:15:06,2024-02-19 04:01:13
140,63629-2962,327,69,,2023-09-19 19:19:31,2024-01-09 07:49:48,2024-04-23 03:36:54
141,50436-3171,220,309,,2023-08-03 02:24:34,2024-05-04 04:54:13,2023-06-06 01:52:32
142,0054-0137,156,922,614,2023-10-18 09:35:35,2023-07-04 08:31:28,2024-01-25 17:48:26
143,29860-203,416,252,,2024-01-11 22:33:06,2024-01-19 16:53:41,2023-07-13 11:00:35
144,62802-038,125,668,908,2023-12-09 04:20:21,2023-09-04 13:19:20,2023-09-04 08:10:34
145,55154-4770,119,45,153,2024-03-29 10:17:58,2024-01-02 21:30:46,2024-02-10 19:08:11
146,50876-182,174,560,642,2024-05-01 19:11:18,2023-11-11 19:51:43,2024-03-05 06:58:51
147,52815-124,233,643,845,2024-03-12 22:03:05,2023-08-22 13:26:25,2023-07-11 13:12:28
148,54868-0218,241,530,738,2023-08-14 23:27:56,2024-02-11 08:17:29,2023-08-20 03:59:46
149,57664-195,305,20,,2024-03-19 02:16:10,2024-04-04 00:13:05,2024-03-13 20:55:51
150,23155-037,487,79,,2023-12-24 10:49:54,2024-01-04 19:53:07,2023-07-25 08:21:29
151,57955-5129,273,437,,2023-12-08 16:05:29,2023-09-12 00:08:20,2023-07-26 15:07:11
152,64942-1261,400,717,159,2024-05-18 22:44:27,2024-04-02 20:04:18,2023-07-20 10:19:11
153,64990-601,66,524,495,2023-08-31 23:58:42,2023-10-24 13:49:08,2023-12-16 20:32:04
154,36987-3242,384,953,,2024-02-11 14:22:15,2024-05-17 00:27:02,2024-02-16 21:34:44
155,36987-1994,190,314,360,2023-09-16 04:39:03,2023-12-07 20:12:05,2023-08-12 21:34:30
156,65862-156,440,14,149,2024-01-31 20:51:02,2023-06-08 12:36:40,2023-10-08 22:10:04
157,61715-092,67,14,7,2023-07-14 03:39:20,2024-04-22 20:18:33,2023-12-30 11:54:33
158,54340-666,431,812,378,2023-06-27 18:07:47,2023-11-27 15:29:39,2023-06-04 02:40:58
159,48599-345,270,729,477,2024-01-26 03:46:59,2024-01-26 19:05:14,2023-09-17 03:58:57
160,49781-012,75,273,,2024-05-04 06:36:29,2023-06-16 06:30:50,2024-03-04 19:54:10
161,54473-244,383,172,,2023-09-22 13:03:03,2024-02-07 11:54:10,2023-09-02 17:46:03
162,37012-370,148,633,714,2024-03-10 02:46:24,2023-11-04 08:18:55,2024-04-03 14:12:57
163,52125-601,473,248,686,2023-07-11 17:44:53,2024-04-27 22:23:24,2023-11-06 11:05:28
164,12546-114,99,463,292,2023-12-15 20:14:42,2023-12-10 14:24:47,2023-07-03 20:32:53
165,51346-219,132,776,701,2024-04-14 19:03:05,2023-09-13 21:23:55,2023-07-29 19:53:27
166,29333-0001,154,330,131,2023-10-27 10:11:24,2023-11-09 16:42:20,2023-06-19 11:11:03
167,36987-2686,475,700,594,2024-02-11 04:12:19,2024-04-13 16:48:30,2023-12-18 17:18:26
168,67544-882,328,244,531,2024-03-16 20:03:46,2023-06-04 08:46:05,2023-08-17 13:20:24
169,41250-032,386,899,197,2024-01-27 08:58:09,2024-04-28 09:45:45,2023-07-20 20:43:25
170,64720-215,430,595,434,2024-02-25 00:09:30,2024-02-12 02:31:25,2024-04-15 19:02:16
171,49580-3412,336,424,696,2023-11-15 16:29:22,2023-06-15 07:58:04,2024-01-01 01:32:04
172,76452-003,282,21,,2024-01-17 11:16:36,2024-05-03 01:40:32,2023-12-11 09:38:15
173,98132-731,349,741,,2024-02-26 20:58:12,2023-12-16 03:28:41,2023-09-08 23:06:20
174,51393-7599,386,314,,2023-06-04 09:03:54,2023-07-04 06:40:02,2023-09-18 13:52:20
175,76282-213,212,68,,2023-07-19 13:55:47,2023-11-03 17:18:39,2023-06-11 02:19:15
176,42023-120,191,492,,2024-01-15 04:38:06,2023-07-21 22:24:05,2023-10-25 11:52:31
177,0603-5092,380,526,607,2023-06-28 09:24:45,2024-01-03 06:27:13,2023-08-21 22:44:41
178,35000-711,208,630,361,2023-12-29 05:33:35,2023-06-02 04:30:12,2023-07-11 21:25:31
179,52371-200,430,279,,2024-04-14 10:35:03,2024-03-22 12:46:59,2023-12-04 05:21:37
180,54458-937,263,175,714,2024-02-26 12:50:52,2023-08-26 12:43:22,2023-06-03 22:09:20
181,55714-2268,57,655,944,2024-04-11 06:13:59,2023-08-21 06:20:20,2023-07-25 22:48:45
182,49527-715,485,63,335,2023-05-26 10:58:14,2023-11-21 18:50:16,2024-05-05 06:09:00
183,68391-536,435,216,49,2023-09-26 22:54:57,2023-06-27 12:03:16,2024-01-26 09:38:25
184,42236-002,420,116,,2023-08-02 19:33:47,2023-09-05 15:13:36,2023-10-10 04:17:39
185,49715-011,460,60,,2024-04-09 09:28:12,2024-04-14 04:55:51,2023-06-01 15:06:04
186,54973-0615,282,839,625,2024-03-21 15:36:48,2024-02-19 22:49:03,2023-11-26 11:02:22
187,21695-132,201,88,358,2024-03-29 01:50:46,2024-03-30 19:01:22,2024-05-19 07:44:07
188,59630-580,418,712,188,2024-03-24 22:51:37,2024-02-05 18:11:36,2023-12-07 14:32:14
189,50125-001,197,239,427,2023-07-15 19:22:45,2024-03-12 00:58:28,2023-07-27 22:58:40
190,0093-1025,181,853,525,2023-08-21 19:28:13,2023-10-23 17:58:47,2023-07-27 18:32:30
191,36987-3172,404,604,292,2023-07-24 09:57:02,2023-09-21 14:03:48,2023-07-27 18:59:19
192,63058-001,279,757,657,2024-02-16 22:39:16,2023-11-28 09:48:24,2023-08-26 00:18:06
193,50458-490,307,187,241,2024-05-05 08:36:03,2023-09-19 00:47:22,2023-09-22 19:52:16
194,49349-572,264,352,,2024-03-10 06:54:01,2024-04-03 00:23:47,2023-11-30 23:23:20
195,50436-4352,218,542,,2023-10-30 19:27:26,2023-08-29 22:31:11,2023-06-15 20:07:39
196,57896-184,366,295,975,2023-08-22 09:39:15,2024-02-25 22:14:11,2024-01-22 03:03:41
197,63824-322,175,399,,2023-07-18 11:10:11,2024-01-22 17:06:59,2023-07-06 06:16:34
198,55154-4775,431,42,40,2024-01-07 18:04:02,2023-07-02 03:11:02,2024-03-16 17:49:27
199,49349-854,96,256,711,2024-02-12 16:06:17,2023-07-25 13:35:38,2023-10-01 10:57:58
200,57520-0357,61,883,143,2024-01-04 17:57:27,2023-10-31 00:30:59,2023-06-29 05:25:23
201,49825-114,116,948,489,2023-10-18 19:48:19,2023-07-30 12:33:45,2024-04-03 00:37:29
202,52654-0004,251,125,119,2024-02-12 08:10:45,2023-07-11 09:26:05,2023-09-20 22:54:07
203,52533-012,71,578,310,2024-01-19 02:53:51,2023-09-11 04:48:30,2024-03-14 05:05:58
204,54575-160,120,256,103,2023-08-13 20:41:43,2023-09-06 08:33:24,2024-04-30 05:09:02
205,67544-534,276,959,37,2023-11-19 04:23:24,2024-01-08 21:19:15,2024-03-02 05:35:55
206,49781-067,89,560,985,2023-10-26 15:26:50,2023-05-24 23:42:01,2023-11-04 01:08:51
207,45802-733,96,741,,2024-01-17 09:24:23,2023-10-30 07:10:21,2024-01-07 02:15:33
208,52584-061,218,790,64,2023-06-05 06:27:06,2023-12-01 01:53:08,2024-04-15 23:35:27
209,59676-701,291,196,,2023-11-21 05:38:06,2023-07-28 07:26:42,2024-01-16 02:45:16
210,14783-445,485,902,,2023-10-24 22:20:07,2024-01-14 23:39:57,2023-09-15 10:28:03
211,51079-853,276,722,,2023-12-16 11:03:00,2024-03-10 02:37:42,2024-04-26 13:38:42
212,0456-2202,185,981,879,2024-04-18 11:35:32,2023-09-15 13:14:32,2023-10-14 14:02:16
213,68382-080,363,393,295,2024-02-23 06:45:43,2023-08-19 03:10:00,2024-03-22 18:12:32
214,42926-120,53,671,526,2023-12-05 23:45:24,2024-02-05 10:12:30,2024-02-10 19:05:49
215,62670-4783,186,19,,2023-11-25 14:30:03,2023-07-08 11:30:38,2024-04-18 15:54:11
216,23635-408,460,528,530,2023-07-17 09:21:23,2024-04-12 12:12:58,2023-06-18 21:01:44
217,49999-035,158,132,715,2023-06-14 15:21:32,2023-11-12 11:47:43,2024-01-25 04:20:40
218,53329-977,168,214,,2024-04-16 18:50:54,2024-02-13 00:27:00,2024-01-30 17:24:31
219,62011-0099,261,380,284,2023-05-25 08:17:27,2023-10-07 19:57:51,2023-10-02 21:37:43
220,66992-490,197,520,,2023-11-22 05:10:32,2024-01-17 20:44:28,2023-10-19 21:09:49
221,50436-6363,389,75,123,2024-01-25 05:04:19,2023-07-19 02:08:37,2024-02-15 13:04:18
222,49348-305,465,428,679,2023-11-11 22:40:08,2024-01-19 20:58:09,2024-05-15 04:07:22
223,44567-803,155,89,801,2024-03-29 19:01:40,2023-07-22 20:15:25,2024-05-04 13:50:27
224,11822-0990,383,683,251,2023-11-26 20:36:57,2023-06-01 12:35:15,2023-09-27 23:45:44
225,16590-621,305,422,639,2023-10-02 21:33:25,2023-12-26 08:31:32,2024-01-26 02:20:55
226,0264-2202,498,89,201,2023-11-21 10:48:19,2024-05-17 15:02:48,2024-03-27 21:41:42
227,64679-787,148,837,,2024-05-02 04:47:14,2023-10-01 05:08:06,2024-02-03 18:09:47
228,0168-0265,431,28,625,2024-04-03 13:22:31,2023-11-29 02:30:38,2023-10-07 16:57:32
229,63739-669,315,822,974,2024-01-01 06:45:28,2024-01-06 01:10:12,2024-01-24 10:08:28
230,58118-0813,62,359,,2024-03-12 22:25:24,2023-06-03 13:54:03,2024-01-28 01:35:06
231,49349-688,222,394,,2024-02-11 19:07:45,2024-05-09 03:34:50,2024-02-17 16:48:18
232,54575-081,232,708,,2024-03-20 12:51:27,2024-03-07 14:54:39,2023-12-12 05:38:06
233,55289-733,346,944,,2023-07-25 06:22:04,2023-08-10 01:31:54,2023-10-05 22:18:54
234,68645-202,397,346,,2023-08-11 16:21:58,2024-02-24 11:34:45,2024-03-15 04:26:03
235,57627-149,153,834,727,2023-11-25 23:09:50,2023-06-02 10:41:01,2023-12-23 17:38:18
236,68151-4349,264,658,,2023-06-16 07:54:10,2023-07-11 07:24:10,2023-10-16 13:30:17
237,42549-543,220,575,670,2023-09-23 02:37:39,2024-01-22 11:47:22,2023-10-06 16:20:45
238,58118-0106,175,350,317,2023-05-28 20:09:37,2023-06-08 10:33:07,2024-04-03 23:09:26
239,51079-698,61,390,403,2023-11-11 12:43:53,2024-02-29 17:42:56,2024-04-02 05:32:40
240,21130-133,395,164,912,2023-09-09 03:39:19,2023-12-19 08:17:19,2024-03-16 16:16:28
241,54569-5305,252,489,501,2024-04-27 21:26:16,2023-11-23 12:21:23,2024-03-03 16:43:25
242,68016-221,183,574,,2023-07-07 11:13:16,2024-01-18 17:19:34,2024-03-17 09:06:39
243,60512-6037,458,840,9,2024-01-16 03:09:38,2024-04-07 17:47:51,2024-03-29 11:16:05
244,11489-064,469,220,516,2023-07-29 23:56:38,2024-01-17 08:36:39,2023-09-13 19:28:48
245,0093-0661,303,999,843,2023-08-14 02:19:57,2024-02-05 10:43:38,2023-12-21 02:47:09
246,0406-9025,121,484,50,2023-11-13 12:34:46,2023-10-22 19:53:41,2023-12-07 14:03:14
247,65044-5233,76,831,838,2024-01-14 20:46:16,2023-06-18 17:14:15,2023-06-28 17:01:01
248,0409-4011,425,676,,2024-01-06 19:34:34,2023-09-08 08:05:33,2023-05-28 20:01:01
249,0280-0922,459,142,,2023-12-07 00:09:28,2023-10-09 19:23:04,2023-11-29 07:14:52
250,50419-863,154,512,,2023-12-10 12:13:10,2024-05-17 05:33:53,2024-05-04 23:51:11
251,50114-5360,245,60,,2024-02-27 17:52:57,2023-06-26 11:46:07,2024-03-22 16:29:29
252,76485-1010,79,774,47,2023-11-17 08:44:05,2023-07-01 08:23:29,2023-10-18 11:04:59
253,52959-053,266,587,7,2024-04-22 13:27:34,2023-08-19 13:46:31,2024-05-07 00:44:05
254,0395-1003,262,866,255,2024-01-20 04:21:33,2023-09-02 19:46:59,2023-08-25 17:16:43
255,42507-759,246,473,,2023-09-21 02:08:52,2024-04-25 02:32:47,2024-04-15 16:48:17
256,17478-508,334,465,609,2023-08-01 04:54:48,2023-07-15 22:07:32,2024-03-21 18:17:11
257,10544-276,325,523,,2023-10-05 09:26:36,2023-11-11 18:46:18,2023-10-12 02:36:11
258,68016-135,336,430,,2024-03-09 14:49:01,2023-10-08 19:00:41,2023-09-26 10:39:08
259,50268-305,381,101,34,2023-12-15 09:38:54,2023-07-03 04:01:05,2023-12-11 11:23:29
260,0904-5875,238,291,,2023-09-06 12:21:24,2023-11-24 04:12:44,2023-10-16 17:06:03
261,14783-109,414,123,,2024-04-05 19:45:49,2023-12-03 23:16:35,2023-06-19 21:39:51
262,59779-943,304,457,44,2023-10-24 03:05:51,2023-06-15 15:46:57,2023-08-31 01:51:38
263,15127-448,255,328,,2024-04-11 10:49:12,2023-06-21 12:58:41,2023-10-18 15:49:25
264,61722-090,485,122,111,2023-08-05 12:00:17,2024-01-10 08:29:32,2023-11-27 01:54:30
265,43825-102,465,351,12,2023-12-06 12:35:45,2024-02-02 07:29:56,2023-06-28 08:47:55
266,54868-4899,264,502,266,2023-10-18 23:25:54,2024-01-27 20:19:37,2023-11-26 22:53:17
267,55310-001,296,220,502,2023-07-26 20:45:38,2023-10-21 05:14:22,2024-01-29 20:19:17
