id,user_id,game_id,discount_id,amount,create_date
125,773,452,946,3268,2023-09-15 04:33:29
126,291,593,899,2834,2024-01-28 13:08:10
127,142,227,,3898,2024-04-28 09:03:04
128,11,734,498,3683,2024-04-26 05:02:56
129,845,831,758,880,2024-05-08 14:15:39
130,297,174,57,4982,2024-02-12 15:25:13
131,394,977,,3146,2023-09-17 04:42:58
132,832,863,990,102,2023-09-20 18:44:34
133,857,217,984,3043,2024-02-05 16:03:59
134,116,846,,779,2023-12-15 04:39:53
135,878,126,783,4009,2024-05-02 04:25:34
136,695,982,680,4114,2023-07-31 15:27:08
137,243,17,,1888,2024-03-09 16:03:27
138,380,40,845,1529,2023-11-09 11:42:35
139,679,42,545,3881,2024-01-01 17:43:46
140,183,406,329,2867,2023-06-09 21:43:36
141,664,106,,3557,2023-11-19 18:45:49
142,834,26,713,400,2023-08-31 09:34:09
143,399,889,232,4299,2023-05-27 05:56:58
144,10,423,,3505,2023-11-01 19:53:18
145,81,260,953,2157,2023-10-19 10:59:40
146,294,207,,3192,2024-03-05 23:19:27
147,153,615,,606,2023-09-21 03:40:53
148,91,254,812,3394,2023-09-27 02:14:12
149,471,894,954,3852,2023-09-21 04:28:09
150,19,806,597,254,2023-12-09 10:13:24
151,347,71,452,1689,2023-12-31 13:22:42
152,495,632,,4830,2023-09-30 12:22:27
153,503,748,926,2963,2023-12-17 18:56:06
154,314,451,788,2069,2024-03-12 17:14:52
155,795,276,435,4090,2023-08-17 22:26:16
156,796,618,,4742,2024-02-22 18:10:35
157,850,842,944,1000,2023-09-13 15:26:27
158,207,748,,4210,2024-02-27 23:10:05
159,61,420,346,3749,2024-03-28 08:48:44
160,410,609,,1605,2023-05-29 12:49:59
161,501,398,456,1603,2024-04-20 10:44:44
162,108,123,604,830,2023-10-20 06:03:13
163,240,394,822,3246,2024-02-03 06:49:32
164,927,462,689,4289,2024-04-21 22:55:15
165,461,975,591,3947,2024-04-07 15:46:26
166,603,662,,268,2023-10-05 09:07:58
167,183,228,,1205,2024-01-09 14:41:34
168,161,678,267,3014,2023-07-31 08:44:59
169,800,229,900,3409,2024-04-13 16:21:29
170,289,182,73,3200,2023-12-09 06:12:00
171,322,64,443,609,2023-11-21 22:31:18
172,560,995,538,2700,2023-12-07 15:05:48
173,799,457,807,2285,2023-10-07 14:25:52
174,139,501,921,2544,2023-08-28 23:13:28
175,175,111,864,221,2023-05-27 12:38:07
176,491,345,486,2845,2024-03-19 14:21:30
177,968,110,,416,2023-07-26 02:07:04
178,131,470,,4244,2023-11-27 01:36:59
179,777,353,934,4383,2023-11-15 08:26:02
180,214,132,339,3885,2024-04-28 02:41:50
181,128,715,,4091,2024-04-13 01:04:00
182,26,281,289,4421,2023-08-08 12:32:08
183,370,609,648,525,2023-08-01 17:42:30
184,168,97,542,4988,2023-08-08 14:29:07
185,343,646,474,3894,2023-07-01 00:24:21
186,682,90,,4418,2023-09-21 05:09:47
187,124,370,891,403,2024-02-14 03:31:25
188,902,945,448,1187,2024-05-17 23:12:35
189,953,5,,1478,2024-02-26 06:10:21
190,860,894,162,2654,2023-06-20 15:34:58
191,248,58,24,198,2023-09-18 09:09:29
192,217,264,648,2294,2023-09-11 17:52:31
193,384,603,,1660,2023-09-30 04:17:12
194,757,251,352,4975,2024-04-14 06:19:54
195,861,196,376,817,2023-05-25 10:53:08
196,365,213,604,4991,2023-12-25 12:53:26
197,922,1,,3306,2024-02-14 05:59:30
198,608,238,819,4736,2024-02-09 01:32:14
199,391,854,608,1457,2023-10-19 07:08:04
200,554,429,877,1271,2024-03-24 14:36:46
201,446,556,,431,2023-11-02 00:23:32
202,1,250,,4397,2023-09-16 05:04:40
203,638,266,681,2956,2024-03-14 19:49:09
204,204,332,936,1799,2023-10-31 15:29:38
205,915,711,,3788,2023-08-04 06:34:16
206,580,912,137,545,2023-09-19 04:59:44
207,419,705,930,2654,2023-08-04 10:35:29
208,466,931,946,1276,2024-03-09 17:40:28
209,871,911,786,3693,2023-12-10 17:46:51
210,174,994,183,854,2023-11-25 12:17:44
211,911,483,485,4904,2024-01-30 13:21:49
212,689,850,166,3259,2024-01-29 18:04:43
213,984,606,37,4951,2023-11-15 10:42:23
214,289,72,311,2734,2024-03-16 08:10:24
215,462,153,989,3748,2023-07-04 09:49:16
216,639,911,404,1176,2024-05-16 06:52:14
217,9,797,920,261,2024-04-10 00:56:58
218,436,993,410,1081,2024-05-17 06:20:54
219,200,500,,4685,2023-05-21 19:36:34
220,401,565,149,4320,2023-12-02 20:16:36
221,586,54,980,1472,2023-12-19 22:07:17
222,911,458,623,1942,2024-03-31 06:54:16
223,523,85,,4519,2023-06-07 22:53:26
224,250,885,,2609,2024-05-02 22:35:38
225,470,22,,2181,2024-01-17 12:45:08
226,252,505,84,3191,2024-03-17 14:17:29
227,59,357,,3839,2023-10-21 10:57:51
228,132,630,380,4787,2023-07-27 03:29:34
229,556,582,,585,2024-03-04 19:25:28
230,597,412,863,3951,2023-07-09 11:43:14
231,699,497,851,3636,2024-02-27 22:43:50
232,849,492,,2171,2023-11-19 14:15:07
233,289,100,,300,2023-07-11 21:13:22
234,470,29,234,3900,2024-01-04 01:17:01
235,881,685,469,2601,2023-10-04 05:32:41
236,640,616,254,528,2024-04-30 14:34:43
237,536,307,,854,2024-01-06 20:26:51
238,81,720,,2548,2023-07-24 23:24:05
239,239,209,,1402,2023-09-26 09:12:01
240,579,83,737,2246,2023-12-06 06:26:19
241,885,338,587,2804,2023-12-04 23:24:09
242,135,100,265,3465,2024-05-13 07:41:55
243,166,651,,4336,2024-02-06 23:55:31
244,303,495,259,4271,2023-12-13 06:14:56
245,906,447,128,588,2024-03-20 03:17:41
246,941,850,164,680,2024-01-04 19:30:29
247,674,911,680,1448,2023-10-25 04:10:01
248,760,466,860,207,2024-03-26 07:59:21
249,916,806,206,3875,2023-09-26 05:08:25
250,647,42,,1488,2023-08-05 06:46:53
251,524,352,,3520,2024-04-12 09:36:12
252,981,280,163,2155,2024-04-23 15:40:03
253,886,643,2,605,2024-05-09 12:45:38
254,914,491,51,1735,2023-09-26 13:56:38
255,773,540,143,4302,2024-01-28 07:28:07
256,617,292,200,2348,2023-09-24 19:26:42
257,346,690,,651,2023-10-29 18:35:04
258,503,89,,1952,2024-05-08 20:45:45
259,769,749,150,4302,2024-03-28 22:42:38
260,271,60,192,4392,2023-12-27 12:19:20
261,568,677,808,373,2024-04-26 10:57:57
262,431,506,,2288,2023-08-10 14:12:57
263,231,52,,990,2023-11-10 18:49:27
264,725,9,,4547,2023-07-05 17:39:43
265,873,721,,3484,2023-11-20 11:25:45
266,497,771,,2997,2023-06-16 01:11:11
267,874,186,,3109,2023-10-20 01:29:34
268,342,27,,1207,2024-03-19 11:18:15
269,545,630,653,3943,2023-09-23 17:36:10
270,872,626,413,2260,2023-08-31 06:53:30
271,231,842,,4664,2024-02-12 19:08:35
272,319,412,951,2164,2024-04-14 09:28:17
273,158,179,,1250,2023-09-06 10:27:15
274,493,579,213,2534,2024-02-07 07:34:03
275,315,203,147,4157,2023-06-17 21:09:35
276,323,848,411,1152,2024-05-12 21:10:36
277,822,512,334,3920,2023-12-09 12:39:33
278,939,145,752,323,2023-08-29 20:38:17
279,381,545,,1246,2023-10-04 19:46:47
280,939,679,,4157,2023-07-19 23:58:50
281,174,160,695,2595,2023-08-07 21:40:45
282,847,501,518,2107,2023-11-24 18:54:48
283,49,121,195,1427,2023-08-04 10:42:32
284,23,308,792,4894,2024-01-22 19:07:26
285,265,876,51,3809,2023-08-10 15:21:11
286,545,261,,4263,2023-11-04 12:36:06
287,796,131,591,2938,2023-12-30 07:00:50
288,903,962,359,2297,2024-03-24 21:37:53
289,316,987,640,3722,2024-04-22 04:07:59
290,601,534,645,4652,2023-12-17 20:51:08
291,705,727,,1175,2023-06-09 20:22:00
292,859,923,575,932,2023-11-16 14:28:46
293,825,790,127,3926,2024-01-27 15:30:00
294,860,656,611,4257,2023-06-13 20:05:11
295,132,36,136,3047,2024-05-14 05:04:19
296,472,237,725,1225,2023-09-11 18:52:54
297,513,897,718,1505,2024-04-09 12:23:53
298,235,833,373,1714,2024-01-26 13:47:34
299,747,307,675,2763,2023-11-10 01:18:26
300,713,751,271,2681,2023-11-07 17:40:20
301,749,92,278,2640,2024-05-16 13:04:31
302,669,331,20,4356,2023-06-30 23:31:36
303,510,354,,4020,2023-12-01 12:16:03
304,699,822,,3170,2023-12-14 23:50:55
305,604,356,135,574,2024-03-19 01:18:44
306,107,736,610,3431,2024-04-26 01:39:53
307,453,448,806,3053,2024-04-21 09:20:50
308,285,647,132,4873,2024-03-31 23:07:37
309,763,34,,3846,2024-03-01 01:29:44
310,496,275,698,2562,2024-01-26 03:17:09
311,584,687,45,2857,2024-04-02 05:45:26
312,877,428,972,3629,2023-08-10 08:31:29
313,18,287,637,375,2023-06-29 14:12:07
314,242,244,981,2863,2023-05-23 17:10:17
315,187,412,,1366,2023-08-29 18:07:49
316,581,508,438,373,2024-03-18 12:13:23
317,429,685,,816,2024-02-06 08:02:48
318,521,149,971,3111,2023-10-09 17:56:21
319,124,617,361,4938,2023-09-15 14:09:58
320,829,147,44,4957,2023-12-06 01:26:29
321,991,359,398,2179,2023-08-21 02:42:22
322,634,431,926,3837,2024-05-16 23:40:00
323,96,599,595,985,2023-06-25 08:34:15
324,24,8,850,851,2023-10-28 07:47:50
325,223,65,644,1115,2024-05-20 14:43:33
326,950,626,702,4383,2023-07-22 04:18:37
327,828,714,,857,2024-03-29 04:40:25
328,308,628,843,3461,2023-12-17 10:57:16
329,445,508,370,2228,2023-05-25 21:46:54
330,436,223,,3878,2023-08-07 21:03:13
331,371,493,278,1198,2023-06-12 18:06:37
332,537,200,200,3198,2023-12-21 19:45:23
333,246,546,,2266,2023-10-02 00:56:55
334,377,729,,3043,2024-04-28 16:23:06
335,747,349,968,3321,2024-03-19 04:29:11
336,7,558,825,411,2024-01-08 04:42:00
337,899,414,357,4595,2024-03-28 01:20:12
338,60,493,,3438,2024-04-04 00:40:48
339,349,436,,4426,2024-03-14 00:15:06
340,932,424,,3179,2023-09-14 06:39:52
341,331,533,708,2044,2023-06-27 16:26:30
342,521,557,251,707,2024-02-23 16:30:02
343,768,752,449,1142,2023-09-03 12:08:53
344,863,615,210,3722,2024-04-17 01:20:49
345,683,419,783,3491,2024-04-08 20:35:59
346,205,683,,380,2023-11-24 08:23:40
347,24,92,556,4113,2023-10-23 18:05:20
348,325,587,292,3061,2023-06-12 07:07:49
349,69,839,117,321,2023-09-08 06:39:48
350,187,577,4,184,2023-12-01 01:46:19
351,23,38,459,2401,2023-07-01 03:23:49
352,136,877,,153,2024-03-13 03:35:27
353,495,180,,1942,2023-10-13 17:13:04
354,435,393,,1807,2024-05-09 11:19:47
355,600,715,,1114,2024-03-27 02:06:31
356,840,187,226,1448,2024-02-06 10:58:05
357,895,319,179,515,2023-10-06 19:08:40
358,203,52,96,3155,2024-02-19 15:39:48
359,887,629,480,4188,2023-10-05 00:53:53
360,220,862,563,1549,2023-11-27 03:08:53
361,865,320,,2673,2023-07-12 03:53:02
362,171,526,274,3419,2023-09-27 14:56:25
363,798,941,,2436,2024-04-30 13:00:49
364,479,808,728,3097,2024-01-10 15:53:17
365,617,618,614,3634,2023-11-05 10:30:21
366,841,658,707,4218,2023-09-23 14:40:19
367,892,894,,1487,2023-07-23 03:57:20
368,486,662,,3114,2023-09-17 07:06:20
369,653,17,426,3487,2023-06-19 00:18:18
370,321,409,635,1275,2023-09-04 10:11:36
371,647,736,183,3247,2023-08-09 09:58:49
372,548,180,625,1360,2023-09-30 16:16:00
373,868,930,957,1683,2023-08-11 01:56:29
374,789,987,,3818,2023-05-30 12:25:49
375,487,905,912,4662,2024-01-11 10:42:32
376,437,258,973,1316,2023-11-28 13:51:24
377,324,372,,3938,2024-05-13 08:44:43
378,284,239,288,2826,2023-12-20 07:27:18
379,196,325,,1881,2023-11-28 10:29:26
380,636,5,393,2890,2023-12-05 17:25:31
381,242,25,297,4765,2024-04-16 04:32:07
382,460,443,,4157,2023-11-09 11:27:17
383,404,120,,2739,2023-07-02 10:06:23
384,473,740,824,4171,2023-07-28 11:20:22
385,843,185,,910,2024-04-30 23:46:02
386,565,416,,4202,2023-12-11 02:54:51
387,847,939,776,677,2023-06-06 08:39:44
388,289,823,798,1666,2024-01-18 00:18:29
389,942,655,746,3059,2024-02-06 23:38:35
390,670,461,459,2654,2024-02-23 08:42:59
391,200,593,961,4858,2023-06-02 21:58:13
392,855,692,644,2380,2024-05-18 16:54:18
393,728,586,,450,2024-05-05 15:39:41
394,950,435,407,2680,2023-10-22 20:18:33
395,572,588,,1628,2024-05-15 19:02:56
396,585,355,,1338,2023-08-31 09:43:56
397,849,544,612,1475,2024-05-10 18:27:14
398,697,309,274,2191,2024-04-28 11:28:12
399,879,944,,141,2023-07-24 12:21:21
400,342,339,,1823,2024-01-09 01:54:06
401,282,927,899,3377,2023-09-26 03:46:05
402,300,155,104,2957,2023-10-23 17:04:34
403,482,862,526,465,2023-09-25 08:52:55
404,727,379,127,390,2023-07-22 09:37:05
405,403,997,172,1410,2024-05-15 18:32:24
406,750,164,913,4369,2024-04-10 20:22:06
407,509,964,965,3942,2023-06-04 06:36:29
408,500,105,188,4101,2023-05-30 05:17:25
409,49,64,,1929,2023-09-28 14:44:16
410,939,704,488,4410,2023-09-24 12:03:03
411,659,384,676,3276,2023-11-15 09:48:34
412,353,933,96,4878,2024-02-12 17:54:13
413,433,865,276,2540,2024-01-30 16:19:14
414,266,946,16,2286,2023-08-09 03:39:05
415,503,257,,1725,2023-06-05 00:42:08
416,353,658,168,1506,2024-03-25 17:45:52
417,13,701,229,1479,2024-03-04 06:33:33
418,714,556,945,840,2023-06-21 21:14:08
419,997,917,765,711,2024-04-10 19:40:38
420,30,430,316,584,2023-10-07 17:42:34
421,383,450,41,2180,2023-06-09 03:20:21
422,470,86,,339,2023-08-29 02:06:43
423,402,501,384,1661,2024-01-15 00:58:25
424,93,507,,4109,2024-05-10 17:05:41
425,638,160,,2038,2024-04-11 11:19:06
426,410,780,,3942,2023-10-01 18:12:24
427,19,903,77,4596,2024-04-30 21:55:13
428,35,80,,3776,2023-11-06 10:44:38
429,318,576,,2348,2023-12-11 03:11:42
430,907,79,7,3103,2023-08-18 21:02:04
431,901,525,,3633,2023-12-06 03:06:58
432,174,548,610,2288,2024-02-22 07:16:12
433,120,190,,271,2023-12-08 15:25:39
434,948,540,452,1590,2024-02-29 11:32:06
435,838,119,43,1220,2024-04-29 13:52:57
436,826,15,828,3952,2023-07-20 22:16:13
437,462,305,,3629,2023-07-16 12:43:58
438,989,967,,1544,2023-11-23 20:50:55
439,453,155,806,636,2024-01-14 02:59:39
440,613,771,449,829,2023-11-13 14:52:55
441,235,82,,4459,2024-01-29 04:33:55
442,665,240,566,2952,2023-05-28 22:43:49
443,239,325,332,2276,2023-12-07 13:53:01
444,958,266,,4309,2024-03-08 06:25:57
445,841,635,,3363,2024-01-04 10:09:31
446,12,510,1000,962,2024-04-03 01:21:13
447,465,101,104,2321,2024-02-17 04:01:23
448,587,792,,3441,2023-07-01 08:11:28
449,548,560,,325,2023-09-08 18:50:21
450,147,471,247,3767,2024-04-23 23:04:22
451,124,892,520,3163,2023-09-27 03:16:12
452,582,581,,1201,2023-10-25 04:45:54
453,83,595,,4009,2023-07-07 08:09:41
454,606,353,494,1662,2023-06-09 16:52:42
455,854,53,137,4027,2024-03-10 01:12:58
456,428,802,,1577,2024-01-07 15:37:30
457,245,594,992,4672,2023-10-27 00:33:26
458,262,180,,481,2023-10-18 18:01:28
459,663,123,402,487,2024-03-26 11:11:46
460,830,999,,4988,2024-01-04 15:34:16
461,100,167,968,2406,2023-06-04 21:14:59
462,700,953,,2604,2024-05-10 23:20:14
463,835,592,406,3451,2024-01-20 20:22:49
464,607,974,366,4302,2024-01-10 07:11:18
465,661,604,395,208,2023-10-11 10:05:52
466,993,276,,1802,2024-05-02 03:57:20
467,976,224,,4676,2023-08-29 22:03:08
468,24,873,818,2294,2023-06-29 08:17:07
469,557,590,,540,2023-10-10 11:54:01
470,565,26,133,567,2023-11-04 09:43:57
471,415,363,,2886,2023-12-09 22:52:56
472,812,307,552,3165,2024-01-07 04:37:51
473,235,314,984,3176,2023-11-06 10:24:46
474,484,479,385,3783,2023-12-09 06:28:59
475,985,276,,4117,2024-05-12 08:17:56
476,843,391,830,770,2023-05-25 13:40:43
477,920,712,,4067,2024-03-04 23:05:14
478,845,210,306,2447,2024-04-25 15:54:09
479,673,411,730,2475,2023-06-30 20:03:34
480,716,947,,4266,2024-05-10 10:53:56
481,198,401,491,1288,2024-03-12 09:05:52
482,271,817,255,1900,2023-07-25 05:07:53
483,113,255,,2927,2024-02-12 06:55:19
484,872,369,,1981,2024-04-15 10:15:01
485,313,555,217,3767,2024-04-11 03:11:23
486,120,395,740,3352,2023-06-27 22:12:23
487,813,617,746,4914,2023-11-14 06:16:48
488,25,605,22,673,2024-03-09 20:03:39
489,785,146,845,369,2023-06-06 10:51:51
490,62,679,654,4048,2023-07-23 09:25:51
491,988,15,,1102,2023-10-18 14:44:27
492,299,197,,3210,2023-11-04 11:47:52
493,268,189,,481,2024-01-19 06:42:10
494,298,831,900,4598,2024-05-05 17:52:07
495,602,590,,521,2024-02-09 21:45:45
496,307,477,,1347,2023-06-23 18:27:23
497,941,96,800,2893,2023-10-17 23:26:25
498,121,601,61,1188,2023-07-06 09:32:41
499,13,975,962,1915,2024-03-20 01:47:31
500,838,445,,814,2023-12-10 07:44:49
501,580,191,553,2971,2023-12-07 22:45:04
502,122,908,316,1071,2023-07-02 10:18:15
503,685,618,,2096,2023-10-25 04:01:08
504,135,404,,2919,2023-05-26 11:01:14
505,649,302,,2425,2023-08-27 08:40:24
506,698,328,,1513,2023-06-25 22:26:25
507,600,845,348,1718,2024-02-18 04:16:39
508,461,782,21,4753,2023-12-24 09:57:23
509,178,289,971,3409,2023-09-25 05:51:38
510,822,899,,2368,2023-11-19 09:25:03
511,947,410,976,354,2023-10-14 06:51:47
512,277,397,623,142,2023-11-26 01:53:54
513,999,57,657,1860,2023-12-03 09:13:58
514,667,1000,140,2294,2024-01-29 22:10:59
515,669,822,,3536,2024-03-15 14:10:06
516,186,904,3,1326,2023-09-27 02:21:17
517,827,368,,563,2023-11-15 00:29:26
518,966,970,829,2900,2023-12-30 17:49:32
519,709,763,101,689,2023-08-30 05:04:19
520,22,895,432,1757,2023-12-23 20:38:35
521,899,195,,648,2024-05-20 07:10:11
522,651,161,265,2236,2023-10-20 17:09:49
523,87,501,,2784,2023-12-02 18:32:06
524,262,836,,1457,2024-03-29 12:56:54
525,881,825,,136,2023-10-05 00:32:45
526,889,472,139,1168,2024-04-20 11:47:24
527,255,959,175,3570,2023-12-20 09:19:30
528,399,939,,3592,2023-08-01 05:27:50
529,282,498,,2417,2023-11-23 19:07:30
530,644,768,213,1308,2023-09-14 03:57:19
531,254,467,,4830,2023-09-11 23:42:46
532,810,649,297,3018,2024-01-06 23:10:13
533,633,224,,4032,2023-07-26 01:42:29
534,902,423,964,2363,2024-02-26 05:26:07
535,437,730,676,3218,2024-03-04 03:27:04
536,709,433,,4889,2023-11-18 02:47:30
537,497,623,,3681,2023-09-07 08:02:24
538,669,126,,4496,2023-07-23 22:56:10
539,510,77,,4456,2023-10-18 19:10:00
540,12,602,722,3586,2024-02-21 10:55:20
541,955,777,874,4114,2023-09-30 04:24:36
542,864,213,694,1138,2023-05-22 06:57:18
543,207,714,918,2529,2024-02-12 14:19:16
544,122,250,696,3459,2024-01-10 15:57:30
545,687,111,,1656,2023-05-27 12:28:47
546,545,473,418,1945,2024-01-26 18:43:20
547,489,36,,1736,2023-12-18 16:35:26
548,299,143,,506,2023-08-31 15:42:47
549,595,429,659,1849,2023-07-28 06:00:34
550,854,986,533,732,2023-10-18 09:36:13
551,893,300,,1222,2023-10-25 13:02:28
552,38,59,473,1055,2024-05-09 22:49:17
553,51,539,892,3641,2024-04-29 16:58:48
554,433,584,122,792,2024-05-19 09:55:22
555,803,388,,2333,2023-11-19 10:10:03
556,137,545,,2365,2023-10-27 19:54:07
557,633,676,687,456,2023-10-01 00:10:57
558,168,622,2,1199,2023-11-15 20:46:09
559,597,258,967,3727,2023-12-17 23:15:53
560,422,388,463,780,2024-01-08 21:00:17
561,93,24,,857,2023-09-27 00:56:21
562,210,111,,2876,2023-10-27 13:03:58
563,256,899,902,2700,2023-12-06 20:28:52
564,163,601,,4391,2023-07-30 20:47:17
565,975,278,,852,2024-05-14 04:19:00
566,919,470,,866,2024-04-30 02:19:28
567,69,220,69,2105,2023-06-09 23:58:35
568,86,487,,3757,2023-09-29 12:49:34
569,994,335,775,895,2024-02-11 08:51:00
570,914,116,,3756,2023-11-30 16:26:04
571,62,831,245,4217,2023-08-03 04:28:57
572,149,234,,3938,2024-01-23 06:18:56
573,150,896,359,4630,2023-06-01 03:00:59
574,299,331,,4601,2023-10-10 09:13:20
575,202,371,,3156,2024-05-06 09:42:15
576,686,641,,1571,2024-05-02 14:07:19
577,892,24,556,3476,2023-11-22 00:00:20
578,287,957,23,3676,2023-07-11 00:16:48
579,825,141,251,966,2023-10-22 02:02:28
580,620,256,58,2128,2023-10-25 18:15:19
581,324,80,90,2162,2023-08-05 09:45:56
582,516,924,55,1572,2023-08-30 15:47:42
583,392,678,422,3683,2023-12-11 07:52:50
584,889,959,535,1878,2023-10-26 11:24:53
585,193,47,,1315,2024-05-19 07:24:36
586,4,650,,4529,2023-06-17 17:09:36
587,683,341,191,4951,2024-02-28 00:50:00
588,895,756,,3592,2024-04-18 14:28:38
589,856,730,588,2801,2024-02-23 11:48:09
590,894,667,483,3013,2023-07-01 05:14:41
591,415,779,,1038,2023-10-01 01:50:38
592,392,812,,2919,2023-12-10 04:18:58
593,116,573,,1262,2024-02-07 13:15:08
594,768,736,,2346,2023-12-14 00:27:47
